GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PLUS_MINUS,season,season_type
2018-06-08,CLE vs. GSW,L,41,23,7,8,0,1,6,7,13,0.538,0,1,0.0,9,11,0.818,-21,2017-18,Playoffs
2018-10-18,LAL @ POR,L,37,26,12,6,1,0,6,9,16,0.563,0,4,0.0,8,9,0.889,-4,2018-19,Regular Season
2018-10-20,LAL vs. HOU,L,39,24,5,5,2,1,1,9,22,0.409,1,7,0.143,5,7,0.714,-13,2018-19,Regular Season
2018-10-22,LAL vs. SAS,L,43,32,8,14,1,1,5,11,25,0.44,2,8,0.25,8,11,0.727,-5,2018-19,Regular Season
2018-10-24,LAL @ PHX,W,28,19,7,10,3,0,0,7,16,0.438,1,5,0.2,4,4,1.0,19,2018-19,Regular Season
2018-10-25,LAL vs. DEN,W,35,28,11,11,3,0,2,10,17,0.588,1,5,0.2,7,10,0.7,13,2018-19,Regular Season
2018-10-27,LAL @ SAS,L,34,35,11,4,2,0,4,13,21,0.619,2,6,0.333,7,8,0.875,-1,2018-19,Regular Season
2018-10-29,LAL @ MIN,L,36,29,10,8,2,2,5,11,23,0.478,3,6,0.5,4,5,0.8,-6,2018-19,Regular Season
2018-10-31,LAL vs. DAL,W,39,29,5,6,3,0,3,11,19,0.579,2,3,0.667,5,7,0.714,5,2018-19,Regular Season
2018-11-03,LAL @ POR,W,31,28,5,7,0,2,3,9,20,0.45,1,5,0.2,9,11,0.818,-22,2018-19,Regular Season
2018-11-04,LAL vs. TOR,L,28,18,2,6,0,1,3,6,12,0.5,2,3,0.667,4,7,0.571,-16,2018-19,Regular Season
2018-11-07,LAL vs. MIN,W,39,24,11,9,0,2,3,10,21,0.476,3,9,0.333,1,2,0.5,3,2018-19,Regular Season
2018-11-10,LAL @ SAC,W,31,25,7,2,1,0,3,10,18,0.556,3,6,0.5,2,3,0.667,2,2018-19,Regular Season
2018-11-11,LAL vs. ATL,W,34,26,7,4,2,0,4,10,20,0.5,3,9,0.333,3,7,0.429,22,2018-19,Regular Season
2018-11-14,LAL vs. POR,W,36,44,10,9,1,3,4,13,19,0.684,5,6,0.833,13,15,0.867,4,2018-19,Regular Season
2018-11-17,LAL @ ORL,L,26,22,4,7,0,1,3,8,19,0.421,3,6,0.5,3,4,0.75,-11,2018-19,Regular Season
2018-11-18,LAL @ MIA,W,38,51,8,3,2,1,2,19,31,0.613,6,8,0.75,7,10,0.7,20,2018-19,Regular Season
2018-11-21,LAL @ CLE,W,36,32,14,7,0,1,4,11,20,0.55,2,6,0.333,8,12,0.667,9,2018-19,Regular Season
2018-11-23,LAL vs. UTA,W,35,22,10,7,2,1,5,8,17,0.471,2,5,0.4,4,6,0.667,13,2018-19,Regular Season
2018-11-25,LAL vs. ORL,L,40,24,4,7,0,1,6,8,14,0.571,2,7,0.286,6,11,0.545,-14,2018-19,Regular Season
2018-11-27,LAL @ DEN,L,30,14,7,2,2,2,4,5,15,0.333,0,4,0.0,4,6,0.667,-23,2018-19,Regular Season
2018-11-29,LAL vs. IND,W,38,38,9,7,2,0,4,15,27,0.556,2,7,0.286,6,10,0.6,19,2018-19,Regular Season
